DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2020,69.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2021,70.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2022,73.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2023,75.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Cyprus,2024,75.0,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2009,61.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2010,60.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2011,61.7,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2012,62.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2013,63.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2014,64.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2015,66.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2016,68.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2017,70.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2018,72.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2019,72.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2020,71.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2021,72.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2022,73.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2023,74.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Czechia,2024,75.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2009,67.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2010,68.8,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2011,70.3,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2012,70.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2013,71.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2014,72.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2015,72.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2016,73.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2017,74.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2018,75.0,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2019,75.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2020,74.6,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2021,75.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2022,77.0,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2023,77.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Germany,2024,77.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2009,73.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2010,72.0,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2011,71.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2012,71.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2013,71.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2014,71.0,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2015,71.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2016,72.5,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2017,73.2,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2018,73.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2019,74.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2020,74.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2021,75.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2022,77.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2023,77.0,b,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Denmark,2024,76.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2009,69.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2010,67.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2011,68.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2012,71.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2013,71.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2014,71.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2015,73.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2016,73.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2017,76.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2018,76.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2019,77.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2020,76.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2021,77.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2022,80.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2023,80.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Estonia,2024,80.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2009,52.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2010,51.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2011,48.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2012,44.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2013,42.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2014,43.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2015,45.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2016,46.2,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2017,47.4,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2018,48.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2019,50.5,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2020,48.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2021,52.7,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2022,55.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2023,57.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Greece,2024,59.9,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Spain,2009,56.8,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Spain,2010,56.3,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Spain,2011,56.1,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Spain,2012,54.6,,
ESTAT:SDG_08_30(1.0),12/06/25 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 20 to 64 years,Percentage of total population,Spain,2013,53.8,,
